filename,n_v,n_f,energy,cog,bent_min,bent_max,edge_min,edge_max,aspect_ratio_min,aspect_ratio_max,faces_min,faces_max,angle_min,angle_max,angle_aspect_min,angle_aspect_max,solid_angle_min,solid_angle_max
01-01-gc-t-0-0-octahedron.off,14,24,69.3423784212,2.37904933848e-17,0.0,0.0,0.919401686762,1.15470053838,1.2559260604,1.2559260604,0.413104558309,0.413104558309,0.955316618125,1.23095941734,1.28853554307,1.28853554307,0.523598775598,0.523598775598
01-01-gc-t-0-0-tetrahedron.off,8,12,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.63299316186,1.41421356237,1.41421356237,0.666666666668,0.666666666668,1.23095941734,1.91063323625,1.55214965606,1.55214965606,1.0471975512,1.0471975512
01-01-nslerp-n-0-0-3dihedron.off,5,3,inf,0.153073372946,0.0,0.0,0.0,1.84775906502,1.1645246646,inf,0.0,1.26952900563,0.0,2.35619449019,1.28571428571,inf,0.0,0.0
01-01-nslerp-n-0-0-4dihedron.off,6,4,inf,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan
01-01-nslerp-n-0-0-cube.off,14,12,69.3423784212,1.58603289232e-17,0.0602202067927,0.0602202067927,0.919401686762,0.919401686762,1.0,1.0,0.826209116619,0.831022817522,0.955316618125,0.955316618125,1.0,1.0,1.0471975512,1.0471975512
01-01-nslerp-n-0-0-icosahedron.off,32,60,412.26127465,8.90482511365e-18,0.0,0.0,0.640851820171,0.713644179547,1.1135868809,1.11358688091,0.18994503273,0.18994503273,0.652358139784,0.729727656227,1.11859975637,1.11859975637,0.209439510239,0.209439510239
01-01-nslerp-n-0-0-octahedron.off,14,24,69.3423784212,2.37904933848e-17,0.0,0.0,0.919401686762,1.15470053838,1.2559260604,1.2559260604,0.413104558309,0.413104558309,0.955316618125,1.23095941734,1.28853554307,1.28853554307,0.523598775598,0.523598775598
01-01-nslerp-n-0-0-tetrahedron.off,8,12,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.63299316186,1.41421356237,1.41421356237,0.666666666668,0.666666666668,1.23095941734,1.91063323625,1.55214965606,1.55214965606,1.0471975512,1.0471975512
01-01-nslerp-t-0-0-3dihedron.off,5,3,inf,0.153073372946,0.0,0.0,0.0,1.84775906502,1.1645246646,inf,0.0,1.26952900563,0.0,2.35619449019,1.28571428571,inf,0.0,0.0
01-01-nslerp-t-0-0-4dihedron.off,6,4,inf,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan
01-01-nslerp-t-0-0-cube.off,14,12,69.3423784212,1.58603289232e-17,0.0602202067927,0.0602202067927,0.919401686762,0.919401686762,1.0,1.0,0.826209116619,0.831022817522,0.955316618125,0.955316618125,1.0,1.0,1.0471975512,1.0471975512
01-01-nslerp-t-0-0-icosahedron.off,32,60,412.26127465,8.90482511365e-18,0.0,0.0,0.640851820171,0.713644179547,1.1135868809,1.11358688091,0.18994503273,0.18994503273,0.652358139784,0.729727656227,1.11859975637,1.11859975637,0.209439510239,0.209439510239
01-01-nslerp-t-0-0-octahedron.off,14,24,69.3423784212,2.37904933848e-17,0.0,0.0,0.919401686762,1.15470053838,1.2559260604,1.2559260604,0.413104558309,0.413104558309,0.955316618125,1.23095941734,1.28853554307,1.28853554307,0.523598775598,0.523598775598
01-01-nslerp-t-0-0-tetrahedron.off,8,12,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.63299316186,1.41421356237,1.41421356237,0.666666666668,0.666666666668,1.23095941734,1.91063323625,1.55214965606,1.55214965606,1.0471975512,1.0471975512
01-01-nslerp2-n-0-0-4dihedron.off,6,4,inf,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan
01-01-nslerp2-n-0-0-cube.off,14,12,69.3423784212,1.58603289232e-17,0.0602202067927,0.0602202067927,0.919401686762,0.919401686762,1.0,1.0,0.826209116619,0.831022817522,0.955316618125,0.955316618125,1.0,1.0,1.0471975512,1.0471975512
01-01-nslerp2-t-0-0-4dihedron.off,6,4,inf,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan
01-01-nslerp2-t-0-0-cube.off,14,12,69.3423784212,1.58603289232e-17,0.0602202067927,0.0602202067927,0.919401686762,0.919401686762,1.0,1.0,0.826209116619,0.831022817522,0.955316618125,0.955316618125,1.0,1.0,1.0471975512,1.0471975512
01-01-other-n-0-0-cube.off,14,12,69.3423784212,1.58603289232e-17,0.0602202067927,0.0602202067927,0.919401686762,0.919401686762,1.0,1.0,0.826209116619,0.831022817522,0.955316618125,0.955316618125,1.0,1.0,1.0471975512,1.0471975512
01-01-other-n-0-0-icosahedron.off,32,60,412.26127465,8.74332004225e-18,0.0,0.0,0.640851820171,0.713644179547,1.1135868809,1.11358688091,0.18994503273,0.18994503273,0.652358139784,0.729727656227,1.11859975637,1.11859975637,0.209439510239,0.209439510239
01-01-other-n-0-0-octahedron.off,14,24,69.3423784212,2.37904933848e-17,0.0,0.0,0.919401686762,1.15470053838,1.2559260604,1.2559260604,0.413104558309,0.413104558309,0.955316618125,1.23095941734,1.28853554307,1.28853554307,0.523598775598,0.523598775598
01-01-other-n-0-0-tetrahedron.off,8,12,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.63299316186,1.41421356237,1.41421356237,0.666666666668,0.666666666668,1.23095941734,1.91063323625,1.55214965606,1.55214965606,1.0471975512,1.0471975512
02-00-disk-n-0-0-3dihedron.off,6,8,10.9641016151,1.85037170772e-17,0.0,0.0,1.0,1.73205080757,1.0,1.73205080757,0.433012701892,1.29903810568,1.0471975512,2.09439510239,1.0,2.0,0.0,0.0
02-00-disk-n-0-0-4dihedron.off,10,8,inf,0.0,0.0,0.0,0.76536686473,1.0,1.30656296488,1.30656296488,0.707106781187,0.707106781187,0.0,0.785398163397,inf,inf,nan,nan
02-00-disk-t-0-0-3dihedron.off,6,8,10.9641016151,1.85037170772e-17,0.0,0.0,1.0,1.73205080757,1.0,1.73205080757,0.433012701892,1.29903810568,1.0471975512,2.09439510239,1.0,2.0,0.0,0.0
02-00-disk-t-0-0-4dihedron.off,10,8,inf,0.0,0.0,0.0,0.76536686473,1.0,1.30656296488,1.30656296488,0.707106781187,0.707106781187,0.0,0.785398163397,inf,inf,nan,nan
02-00-flat-n-0-0-cube.off,26,24,266.149837994,3.01940857439e-17,0.0217573623163,0.0217573623163,0.605810893056,0.76536686473,1.26337587109,1.26337587109,0.460541961478,0.460766724326,0.61547970867,0.785398163397,1.27607482803,1.27607482803,0.523598775598,0.523598775598
